title,link,user_ig,timestamp
,https://www.instagram.com/reel/CQ3b9bIjC12/,@poxau,1625974651
,https://www.instagram.com/reel/CQREtH_lq-6/,@mayumelyrics,1625974575
,https://www.instagram.com/reel/CQTkR5AnLC1/,@seu.sertanejo,1625974519
,https://www.instagram.com/reel/CRK8R6kBqse/,@yaselhage,1625974487
,https://www.instagram.com/p/CQ4TIBQtOrU/,@cabelosdesucessoo,1625958189
,https://www.instagram.com/p/CREXAGzNmjy/,@cabelosdesucessoo,1625958134
,https://www.instagram.com/p/CQ4at2tgYVl/,@luishenrique_perfiloficial,1625949751
,https://www.instagram.com/tv/CRIPSHYHaeW/,@rafaelvazlopes,1625938357
,https://www.instagram.com/p/CRHF5ojtclV/,@papparazzinews,1625938127
,https://www.instagram.com/p/CRGww0TFV1w/,@meditehoje_,1625890893
,https://www.instagram.com/reel/CRICEYsAzmc/,@viajeporconta.com.br,1625875060
,https://www.instagram.com/p/CRBvLYagPf9/,@dani.ela.bn,1625862633
,https://www.instagram.com/p/CRHi8GKg4f5/,@dani.ela.bn,1625862628
,https://www.instagram.com/p/CRHaXg8D0R6/,@filosofia.liquida,1625855941
,https://www.instagram.com/tv/CREwbguFf4l/,@ifooduniverso,1625842064
,https://www.instagram.com/p/CRG8mAcnv1K/,@soldadoferido,1625841114
,https://www.instagram.com/p/CRFsaKllsOA/,@trechosemlivros,1625806331
,https://www.instagram.com/p/CRFNNBPpTo5/,@prefeituradetriunfo,1625806188
,https://www.instagram.com/p/CQ4I3m9JChs/,@brunaflorie,1625801280
,https://www.instagram.com/p/CRFdiJIFMm3/,@alutadelas,1625795575
,https://www.instagram.com/p/CRFFyd4J-Kn/,@essencia._feminina,1625786578
,https://www.instagram.com/reel/CQhOlX-gJqe/,@eujessoliveira,1625783130
,https://www.instagram.com/reel/CQeqWGyADWu/,@suhanjos01,1625783097
,https://www.instagram.com/reel/CQwvrDxDBFr/,@yasmincastilho,1625782673
,https://www.instagram.com/p/CQ_SttLMnZ2/,@curtinhoperfeito,1625782271
,https://www.instagram.com/p/CQcvJdznbVD/,@quandoaprendiameamar,1625781773
,https://www.instagram.com/p/CREtiOahbPo/,@estadao,1625765891
,https://www.instagram.com/p/CREk1Umjixj/,@amor_proprio__,1625758737
,https://www.instagram.com/reel/CQdvr4GgnzK/,@natipaulus,1625748260
,https://www.instagram.com/reel/CQCTtcxD5EF/,@vinteevibes,1625748015
,https://www.instagram.com/reel/CQMOftnnV4p/,@laragamam,1625747961
,https://www.instagram.com/p/CRDQtIxLO0G/,@astrodelicculture,1625715800
,https://www.instagram.com/p/CQ8r8NisNVr/,@curtinhoperfeito,1625713960
,https://www.instagram.com/reel/CRB74Zdjo84/,@rafaelcunha,1625713789
,https://www.instagram.com/p/CRCtKy4Hlob/,@blogreencontrar,1625711446
,https://www.instagram.com/p/CRCNIvwtlIV/,@elasfeministas,1625706258
,https://www.instagram.com/p/CQ1UhZ7llWT/,@julia.rigotti,1625704160
,https://www.instagram.com/p/CRCnSxiB03_/,@amor_proprio__,1625697771
,https://www.instagram.com/p/CRB7_8HDxgW/,@filosofia.liquida,1625686106
,https://www.instagram.com/p/CRAU2tdrOu-/,@filosofia.liquida,1625624147
,https://www.instagram.com/p/CQ_laRvtNr5/,@elasfeministas,1625602618
,https://www.instagram.com/reel/CQPLujRjKQJ/,@marianagomesmk,1625596805
,https://www.instagram.com/p/CQ1uBx0juYw/,@elzzamatos,1625596368
,https://www.instagram.com/tv/CQ82EoUjvbi/,@anavitoria,1625586444
,https://www.instagram.com/p/CPmK_0jDecs/,@elzzamatos,1625581592
,https://www.instagram.com/p/CP3nmvAtD0B/,@donadocabelocurto,1625581551
,https://www.instagram.com/reel/CQ9iEEVHbWU/,@isaacferreiraoficial_,1625544166
,https://www.instagram.com/p/CPlohLdtZnw/,@donadocabelocurto,1625543975
,https://www.instagram.com/p/CQ95ej4lBw6/,@triptaminaworld,1625542228
,https://www.instagram.com/reel/CP_hDdsBexC/,@aestheticversoss,1625516569
,https://www.instagram.com/reel/CQMdZ6cFASX/,@skrtbrasil,1625516310
,https://www.instagram.com/reel/CQgyVVQHL6b/,@brasilbemsertanejo,1625515612
,https://www.instagram.com/p/CQ9NqZTB6QK/,@meditehoje_,1625514485
,https://www.instagram.com/p/B95OuhCnbzK/,@casadostemperossalgueiro,1625514141
,https://www.instagram.com/p/CQ85RCsjaIN/,@scottgordonpatterson,1625501842
,https://www.instagram.com/p/CQ7AYsZr3sd/,@astrodelicculture,1625453634
,https://www.instagram.com/reel/CQb-e2Oh1wE/,@mayrarodrigues,1625439485
,https://www.instagram.com/reel/CNfEN2hggLs/,@cunhaporanga_oficial,1625427553
,https://www.instagram.com/p/CMiLdZuhh8c/,@mirellygil,1625416090
,https://www.instagram.com/p/CQ6POWZhzU9/,@ivoneterosa.escritora,1625415386
,https://www.instagram.com/p/CQqt3X3npZh/,@the_bob_haircut,1625361254
,https://www.instagram.com/p/CQ3klhIlbi_/,@estatistica_oficial,1625322427
,https://www.instagram.com/p/CQw61GmNrr1/,@donadocabelocurto,1625319814
